Training_Seed,Mean_Fitness,Std_Fitness,Avg_Time_s,Num_Tests
100,1324.9150,468.2094,0.5320,750
101,1327.2794,475.7559,0.5991,750
102,1341.1508,473.1944,0.5062,750
103,1331.8687,471.8841,0.5241,750
104,1317.4467,464.3652,0.6176,750
105,1367.1340,495.3873,0.6017,750
106,1325.3679,468.1041,0.5749,750
107,1320.3201,465.9796,0.6352,750
108,1333.6193,478.0324,0.5827,750
109,1328.2389,467.7789,0.6972,750
110,1322.3511,468.6283,0.4570,750
111,1310.4574,467.7481,0.6036,750
112,1333.2985,478.6174,0.5648,750
113,1358.2515,490.8804,0.4710,750
114,1328.0631,484.0901,0.5713,750
115,1336.9104,475.7838,0.6163,750
116,1330.9131,479.5681,0.5197,750
117,1325.6194,477.2402,0.6519,750
118,1321.1319,464.1494,0.5856,750
119,1329.7583,479.0722,0.6938,750
120,1326.5410,471.8027,0.4933,750
121,1321.8052,471.4548,0.4780,750
122,1331.9071,475.1586,0.5571,750
123,1350.1087,487.3015,0.4734,750
124,1343.6626,481.0125,0.4802,750
125,1336.8801,472.6311,0.4607,750
126,1346.3672,483.4543,0.6227,750
127,1493.9265,2758.9677,0.6335,750
128,1342.9799,478.8637,0.5334,750
129,1332.4296,476.8631,0.5510,750

SUMMARY,,,,
Overall_Mean,1338.0234,,,
Overall_Std,31.2691,,,
CV_%,2.3370,,,
Min_Fitness,1310.4574,,,
Max_Fitness,1493.9265,,,
Best_Seed,111,,,
Worst_Seed,127,,,
