Instance,Size,BKS_Fitness,BKS_Distance,BKS_Vehicles,Memetic_Fitness,Memetic_Distance,Memetic_Vehicles,Memetic_TimeToFinal,Memetic_IsFeasible,ORTools_Fitness,ORTools_Distance,ORTools_Vehicles,ORTools_IsFeasible
lc101,100,1160.6,829.0,10,1160.511613719967,828.9368669428337,10,29.019657373428345,True,1160.5116137199673,828.9368669428338,10,True
lc102,100,1160.6,829.0,10,1160.5116137199673,828.9368669428338,10,32.639832973480225,True,1160.5116137199673,828.9368669428338,10,True
lc103,100,1407.6,1035.0,9,1159.0105788377905,827.8646991698504,10,27.79115128517151,True,1159.0105788377907,827.8646991698505,10,True
lc104,100,1169.6,860.0,9,1146.0399771180337,818.5999836557384,10,69.08541560173035,True,1147.2267457815515,819.4476755582511,10,True
lc105,100,1160.6,829.0,10,1160.511613719967,828.9368669428337,10,28.200741291046143,True,1160.5116137199673,828.9368669428338,10,True
lc106,100,1160.6,829.0,10,1160.511613719967,828.9368669428337,10,29.17300534248352,True,1160.5116137199673,828.9368669428338,10,True
lc107,100,1160.6,829.0,10,1160.511613719967,828.9368669428337,10,28.125853776931763,True,1160.5116137199673,828.9368669428338,10,True
lc108,100,1156.3999999999999,826.0,10,1157.0148873174508,826.4392052267506,10,33.32991147041321,True,1157.0148873174508,826.4392052267506,10,True
lc109,100,1361.36,1001.0,9,1158.943258572759,827.8166132662566,10,27.461863040924072,True,1267.1927629650131,905.1376878321522,10,True
lc201,100,663.0400000000001,592.0,3,662.5433434720816,591.5565566715013,3,115.94031143188477,True,662.5433434720816,591.5565566715013,3,True
lc202,100,663.0400000000001,592.0,3,662.5433434720816,591.5565566715013,3,123.42956495285034,True,662.5433434720816,591.5565566715013,3,True
lc203,100,661.9200000000001,591.0,3,662.1142559143073,591.1734427806314,3,85.07990956306458,True,719.3259096248527,642.2552764507612,3,True
lc204,100,661.9200000000001,591.0,3,715.4066864228785,638.7559700204272,3,88.30392289161682,True,721.6652623806575,644.3439842684442,3,True
lc205,100,659.6800000000001,589.0,3,659.5410781718344,588.8759626534236,3,82.21525025367737,True,659.5410781718346,588.8759626534237,3,True
lc206,100,658.5600000000001,588.0,3,659.1119906140601,588.4928487625536,3,109.77960896492004,True,659.1119906140601,588.4928487625536,3,True
lc207,100,658.5600000000001,588.0,3,658.880679997358,588.2863214262125,3,91.92421531677246,True,665.7901496398216,594.4554907498407,3,True
lc208,100,658.5600000000001,588.0,3,658.922656736287,588.323800657399,3,86.64161014556885,True,662.781938274523,591.7695877451098,3,True
lr101,100,2905.76,1651.0,19,2905.406661645079,1650.7992395710676,19,27.535574436187744,True,3165.358608862822,1720.303591773273,21,True
lr102,100,2499.84,1488.0,17,2499.118327054666,1487.5704327706344,17,150.62286972999573,True,2703.1814090711982,1571.6170982972083,18,True
lr103,100,1965.3600000000001,1293.0,13,1964.8667755364581,1292.675510221354,13,109.82191228866577,True,2333.7725275763705,1458.6078297352315,15,True
lr104,100,1377.6799999999998,1013.0,9,1531.9263102968077,1094.2330787834342,10,32.11100506782532,True,1667.6049900654416,1158.059020878779,11,True
lr105,100,2148.12,1377.0,14,2148.2931879400417,1377.1110179102832,14,63.97473430633545,True,2341.128452095067,1463.205282559417,15,True
lr106,100,1854.44,1253.0,12,1853.872648317519,1252.616654268594,12,26.79936981201172,True,1883.721741384423,1272.7849603948805,12,True
lr107,100,1555.3999999999999,1111.0,10,1641.3291395580472,1139.8119024708662,11,159.48456621170044,True,1710.3878329503968,1187.7693284377756,11,True
lr108,100,1317.84,969.0,9,1317.7937858608357,968.9660190153205,9,132.93748664855957,True,1543.7561913823988,1072.0529106822214,11,True
lr109,100,1740.96,1209.0,11,1896.415562586703,1247.641817491252,13,120.00351881980896,True,2035.7658825536603,1339.3196595747766,13,True
lr110,100,1622.6,1159.0,10,1799.4703639852428,1215.858354044083,12,82.04825901985168,True,1948.141987539784,1281.672360223542,13,True
lr111,100,1552.6,1109.0,10,1629.3827675382934,1131.5158107904815,11,86.95534157752991,True,1771.9150346471565,1197.2398882751058,12,True
lr112,100,1365.4399999999998,1004.0,9,1547.6501920609878,1074.7570778201305,11,94.36119270324707,True,9656.883906411833,1138.11053068704,11,False
lr201,100,1453.4799999999998,1253.0,4,1477.2475732943099,1273.489287322681,4,154.02307415008545,True,7699.123401465727,1276.7502472247902,4,False
lr202,100,1341.7600000000002,1198.0,3,1466.8674558640273,1264.5409102276099,4,230.58640122413635,True,1638.4129097157775,1365.3440914298146,5,True
lr203,100,1062.88,949.0,3,1068.4012076140611,953.9296496554117,3,206.8722095489502,True,1315.9963858262533,1096.6636548552112,5,True
lr204,100,916.9200000000001,849.0,2,1011.9834253683732,903.5566297931903,3,209.16096925735474,True,1116.8144313634025,997.1557422887522,3,True
lr205,100,1180.48,1054.0,3,1248.8109469067954,1115.0097740239244,3,114.65757846832275,True,1275.3782439566612,1099.464003410915,4,True
lr206,100,1043.8400000000001,932.0,3,1043.420487857747,931.6254355872741,3,157.45764255523682,True,1192.4524660426168,1027.976263829842,4,True
